0,AX,American Express,Bank of America,344850000000000.0,Christine E Kim,3819,Aug-11,Aug-13,4,9017,77700                                              
0,AX,American Express,American Express,370760000000000.0,Jesse J Perez,3555,Jun-15,Jun-32,25,8493,68000                                              
0,AX,American Express,American Express,341418000000000.0,Helen R Lucas,5798,Sep-17,Sep-20,1,3066,40100                                               
0,AX,American Express,American Express,345632000000000.0,Henry W Hewitt,525,May-11,May-23,25,7880,78700                                              
0,AX,American Express,USAA,345284000000000.0,Heather Wong,6812,Feb-12,Feb-20,6,8170,10700                                                            
0,AX,American Express,American Express,374521000000000.0,Howard C Dunlap,7937,Jan-17,Jan-27,28,9677,187700                                           
0,AX,American Express,American Express,347364000000000.0,Gerald O Lee,3614,Aug-16,Aug-22,23,652,27400                                                
0,AX,American Express,American Express,379863000000000.0,Cynthia Evans,995,Aug-17,Aug-34,25,2735,55700                                               
0,AX,American Express,American Express,370138000000000.0,Jeremy N White,9594,Jul-09,Jul-16,4,3248,199000                                             
0,AX,American Express,American Express,346716000000000.0,Marcus D Ashley,2302,Apr-13,Apr-21,6,2724,28400                                             
0,AX,American Express,American Express,344774000000000.0,Randall Z Lott,7026,Nov-13,Nov-21,28,2813,44800                                             
0,AX,American Express,American Express,371048000000000.0,Craig Gonzalez,3664,Aug-15,Aug-25,1,40,30700                                                
0,AX,American Express,American Express,346078000000000.0,Rebecca Jenkins,2963,Feb-14,Feb-20,22,3262,65000                                            
0,AX,American Express,American Express,341729000000000.0,Rachel Turner,2134,Jul-15,Jul-28,19,421,186700                                              
0,AX,American Express,American Express,371829000000000.0,Walter B Lopez,4580,Sep-09,Sep-12,27,2909,140400                                            
0,AX,American Express,American Express,373818000000000.0,Charles R Farrell,6890,Oct-12,Oct-30,8,5444,71400                                           
1,DC,Diners Club International,Diners Club,30295200000000.0,Dawn U Reese,70,Dec-15,Dec-16,11,3915,12700                                              
1,DC,Diners Club International,Diners Club,30082500000000.0,Helen P Perry,709,Feb-07,Feb-20,13,2319,81900                                            
1,DC,Diners Club International,Diners Club,30136300000000.0,Jeremy P Price,82,Aug-16,Aug-28,26,7665,47800                                            
1,DC,Diners Club International,Diners Club,30240300000000.0,Joe N Mccarty,509,Oct-15,Oct-27,12,5766,93300                                            
1,DC,Diners Club International,Diners Club,30074500000000.0,Louis Martinez,120,Jul-07,Jul-21,26,5735,19500                                           
1,DC,Diners Club International,Diners Club,36110600000000.0,Lillian M Green,851,Feb-07,Feb-21,4,2833,18900                                           
1,DC,Diners Club International,Diners Club,30179000000000.0,Judith I Rollins,583,Aug-14,Aug-31,24,937,85300                                          
1,DC,Diners Club International,Diners Club,30303900000000.0,Diane R Ross,937,May-11,May-18,16,4008,177200                                            
1,DC,Diners Club International,Diners Club,30940000000000.0,Alicia S Crawford,106,Jun-12,Jun-29,14,3702,38700                                        
1,DC,Diners Club International,Diners Club,30345300000000.0,Dorothy H Le,379,Jun-07,Jun-22,8,913,135700                                              
1,DC,Diners Club International,Diners Club,36889700000000.0,Willie O King,19,Jun-14,Jun-33,27,2447,61700                                             
1,DC,Diners Club International,Diners Club,38916400000000.0,Don P Wooten,423,May-15,May-16,4,2913,198800                                             
1,DC,Diners Club International,Diners Club,30018400000000.0,Amanda L Soto,751,Apr-07,Apr-20,17,2941,150100                                           
1,DC,Diners Club International,Diners Club,30999600000000.0,Laura W Richardson,283,Apr-15,Apr-35,5,253,126600                                        
1,DC,Diners Club International,Diners Club,30183000000000.0,Eleanor Crane,332,Oct-14,Oct-17,26,6331,88300                                            
